date,%assignLoss,linkDeathTime,idLink,%loss,linkCharge
20201111221110,0,150,19,0.0,4e-05
20201111221110,0,150,20,0.0,5e-05
20201111221110,0,150,21,0.0,5e-05
20201111221110,0,150,22,0.0,2e-05
20201111221110,0,150,23,0.0,2e-05
20201111221110,0,150,24,0.0,2e-05
20201111221110,0,150,25,0.0,4e-05
20201111221110,0,150,26,0.0,2e-05
20201111221110,25,150,12,0.0,2e-05
20201111221111,0,150,1,0.0,5e-05
20201111221111,0,150,2,0.0,0.0003
20201111221111,0,150,3,0.0,1e-05
20201111221111,0,150,4,0.0,6e-05
20201111221111,0,150,5,0.0,3e-05
20201111221111,0,150,6,0.0,0.0001
20201111221111,0,150,7,0.0,4e-05
20201111221111,0,150,8,0.0,4e-05
20201111221111,0,150,9,0.0,5e-05
20201111221111,0,150,10,0.0,5e-05
20201111221111,0,150,11,0.0,0.00012
20201111221111,0,150,13,0.0,1e-05
20201111221111,0,150,14,0.0,3e-05
20201111221111,0,150,16,0.0,4e-05
20201111221111,0,150,17,0.0,7e-05
20201111221111,0,150,18,0.0,2e-05
20201111221111,0,150,19,0.0,0.00011
20201111221111,0,150,20,0.0,8e-05
20201111221111,0,150,21,0.0,9e-05
20201111221111,0,150,22,0.0,5e-05
20201111221111,0,150,23,0.0,2e-05
20201111221111,0,150,24,0.0,7e-05
20201111221111,0,150,25,0.0,7e-05
20201111221111,0,150,26,0.0,2e-05
20201111221111,25,150,12,0.0,6e-05
20201111221112,0,150,1,0.0,7e-05
20201111221112,0,150,2,0.0,0.0003
20201111221112,0,150,3,0.0,4e-05
20201111221112,0,150,4,0.0,6e-05
20201111221112,0,150,5,0.0,5e-05
20201111221112,0,150,6,0.0,9e-05
20201111221112,0,150,7,0.0,3e-05
20201111221112,0,150,8,0.0,4e-05
20201111221112,0,150,9,0.0,1e-05
20201111221112,0,150,10,0.0,6e-05
20201111221112,0,150,11,0.0,8e-05
20201111221112,0,150,13,0.0,4e-05
20201111221112,0,150,14,0.0,1e-05
20201111221112,0,150,16,0.0,7e-05
20201111221112,0,150,17,0.0,9e-05
20201111221112,0,150,18,0.0,4e-05
20201111221112,0,150,19,0.0,4e-05
20201111221112,0,150,20,0.0,4e-05
20201111221112,0,150,21,0.0,8e-05
20201111221112,0,150,22,0.0,6e-05
20201111221112,0,150,23,0.0,5e-05
20201111221112,0,150,24,0.0,6e-05
20201111221112,0,150,25,0.0,5e-05
20201111221112,0,150,26,0.0,4e-05
20201111221112,25,150,12,0.0,4e-05
20201111221113,0,150,1,0.0,1e-05
20201111221113,0,150,2,0.0,0.0002
20201111221113,0,150,3,0.0,1e-05
20201111221113,0,150,4,0.0,5e-05
20201111221113,0,150,5,0.0,2e-05
20201111221113,0,150,6,0.0,0.00011
20201111221113,0,150,7,0.0,5e-05
20201111221113,0,150,8,0.0,3e-05
20201111221113,0,150,9,0.0,2e-05
20201111221113,0,150,10,0.0,3e-05
20201111221113,0,150,11,0.0,9e-05
20201111221113,0,150,14,0.0,2e-05
20201111221113,0,150,16,0.0,2e-05
20201111221113,0,150,17,0.0,5e-05
20201111221113,0,150,18,0.0,7e-05
20201111221113,0,150,19,0.0,4e-05
20201111221113,0,150,20,0.0,8e-05
20201111221113,0,150,21,0.0,0.0001
20201111221113,0,150,22,0.0,1e-05
20201111221113,0,150,23,0.0,2e-05
20201111221113,0,150,24,0.0,7e-05
20201111221113,0,150,25,0.0,5e-05
20201111221113,0,150,26,0.0,1e-05
20201111221113,25,150,12,0.0,2e-05
20201111221114,0,150,1,0.0,0.00016
20201111221114,0,150,2,0.0,0.00083
20201111221114,0,150,3,0.0,6e-05
20201111221114,0,150,4,0.0,0.00016
20201111221114,0,150,5,0.0,2e-05
20201111221114,0,150,6,0.0,0.00019
20201111221114,0,150,7,0.0,8e-05
20201111221114,0,150,8,0.0,6e-05
20201111221114,0,150,9,0.0,4e-05
20201111221114,0,150,10,0.0,8e-05
20201111221114,0,150,11,0.0,0.00013
20201111221114,0,150,13,0.0,3e-05
20201111221114,0,150,14,0.0,4e-05
20201111221114,0,150,16,0.0,8e-05
20201111221114,0,150,17,0.0,0.00016
20201111221114,0,150,18,0.0,0.00011
20201111221114,0,150,19,0.0,0.00016
20201111221114,0,150,20,0.0,5e-05
20201111221114,0,150,21,0.0,8e-05
