date, IPclient, PORTclient, IPserver, PORTserver, nproccess, interval, transferred_bytes, bits/s
20201111223337,10.0.0.11,36431,10.0.0.3,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.7,33029,10.0.0.3,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.6,38813,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.1,59263,10.0.0.3,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.9,49851,10.0.0.3,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.0,59495,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.7,34257,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.2,44480,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.3,54057,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.8,49540,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.9,37888,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.11,60240,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.0,36389,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.10,53859,10.0.0.4,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.8,44269,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.1,41120,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.3,55994,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.7,39873,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.4,33664,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.6,48428,10.0.0.5,5201,3,9.0-10.0,1470,11760
20201111223337,10.0.0.2,54389,10.0.0.5,5201,3,9.0-10.0,1470,11760
